month,cpo_production_t,closing_stock_t,palm_oil_exports_t,palm_oil_imports_t
2025-02-01,1188443.0,1509942.0,996472.0,66784.0
2025-03-01,1387616.0,1563831.0,1005641.0,121886.0
2025-04-01,1686379.0,1865536.0,1104384.0,58292.0
2025-05-01,1771621.0,1982895.0,1407595.0,68971.0
2025-06-01,1692370.0,2031249.0,1260973.0,69715.0
2025-07-01,1812467.0,2113881.0,1328798.0,61039.0
2025-08-01,1854756.0,2201618.0,1326991.0,58538.0
2025-09-01,1840983.0,2359572.0,1429575.0,78413.0
2025-10-01,2043886.0,2508396.0,1696495.0,36283.0
2025-11-01,1935510.0,2835578.0,1204150.0,23176.0
2025-12-01,1829549.0,3051147.0,1331850.0,33292.0
2026-01-01,1576683.0,2814849.0,1453143.0,37224.0
2026-02-01,1284268.0,2703521.0,1075944.0,76276.0
2026-03-01,1376849.0,2270574.0,1509953.0,66801.0
2026-04-01,1629801.0,2308944.0,1292568.0,75846.0
2026-05-01,1516327.0,2427972.0,1133879.0,43816.0
2026-06-01,1638796.0,2543830.0,1215850.0,103113.0
2026-07-01,1792979.0,2628325.0,1392178.0,49566.0
2026-08-01,,,,
2026-09-01,,,,
2026-10-01,,,,
2026-11-01,,,,
2026-12-01,,,,
