month,region,ffb_yield_t_ha
2020-11-01,MALAYSIA,1.33
2020-12-01,MALAYSIA,1.19
2020-12-01,Sabah,1.21
2020-12-01,Sabah & Sarawak,1.16
2021-01-01,Sabah,1.01
2021-01-01,MALAYSIA,1.03
2021-01-01,Sabah & Sarawak,1.04
2021-02-01,Sabah,0.88
2021-02-01,Sabah & Sarawak,0.91
2021-02-01,MALAYSIA,0.97
2021-03-01,MALAYSIA,1.2
2021-03-01,Sabah & Sarawak,1.1
2021-03-01,Sabah,1.1
2021-04-01,MALAYSIA,1.28
2021-04-01,Sabah & Sarawak,1.19
2021-04-01,Sabah,1.27
2021-05-01,Sabah & Sarawak,1.27
2021-05-01,MALAYSIA,1.33
2021-05-01,Sabah,1.39
2021-06-01,Sabah & Sarawak,1.29
2021-06-01,Sabah,1.43
2021-06-01,MALAYSIA,1.35
2021-07-01,Sabah & Sarawak,1.2
2021-07-01,MALAYSIA,1.3
2021-07-01,Sabah,1.3
2021-08-01,MALAYSIA,1.44
2021-08-01,Sabah & Sarawak,1.35
2021-08-01,Sabah,1.44
2021-09-01,Sabah,1.53
2021-09-01,Sabah & Sarawak,1.42
2021-09-01,MALAYSIA,1.45
2021-10-01,Sabah & Sarawak,1.41
2021-10-01,Sabah,1.54
2021-10-01,MALAYSIA,1.46
2021-11-01,Sabah & Sarawak,1.38
2021-11-01,MALAYSIA,1.41
2021-11-01,Sabah,1.5
2021-12-01,Sabah & Sarawak,1.27
2021-12-01,MALAYSIA,1.26
2021-12-01,Sabah,1.36
2022-01-01,Sabah & Sarawak,1.12
2022-01-01,Sabah,1.27
2022-01-01,MALAYSIA,1.1
2022-02-01,Sabah & Sarawak,0.93
2022-02-01,MALAYSIA,0.99
2022-02-01,Sabah,1.03
2022-03-01,MALAYSIA,1.18
2022-03-01,Sabah,1.15
2022-03-01,Sabah & Sarawak,1.06
2022-04-01,Sabah,1.14
2022-04-01,Sabah & Sarawak,1.08
2022-04-01,MALAYSIA,1.17
2022-05-01,Sabah & Sarawak,1.11
2022-05-01,MALAYSIA,1.2
2022-05-01,Sabah,1.11
2022-06-01,MALAYSIA,1.26
2022-06-01,Sabah,1.15
2022-06-01,Sabah & Sarawak,1.17
2022-07-01,Sabah & Sarawak,1.18
2022-07-01,MALAYSIA,1.28
2022-07-01,Sabah,1.13
2022-08-01,Sabah,1.35
2022-08-01,MALAYSIA,1.45
2022-08-01,Sabah & Sarawak,1.39
2022-09-01,Sabah & Sarawak,1.46
2022-09-01,MALAYSIA,1.51
2022-09-01,Sabah,1.47
2022-10-01,Sabah & Sarawak,1.48
2022-10-01,MALAYSIA,1.54
2022-10-01,Sabah,1.55
2022-11-01,Sabah & Sarawak,1.41
2022-11-01,MALAYSIA,1.45
2022-11-01,Sabah,1.54
2022-12-01,Sabah & Sarawak,1.36
2022-12-01,MALAYSIA,1.38
2022-12-01,Sabah,1.51
2023-01-01,Sabah & Sarawak,1.2
2023-01-01,Sabah,1.35
2023-01-01,MALAYSIA,1.19
2023-02-01,MALAYSIA,1.07
2023-02-01,Sabah & Sarawak,1.04
2023-02-01,Sabah,1.22
2023-03-01,Sabah & Sarawak,1.11
2023-03-01,Sabah,1.29
2023-03-01,MALAYSIA,1.09
2023-04-01,Sabah & Sarawak,1.03
2023-04-01,MALAYSIA,1.0
2023-04-01,Sabah,1.13
2023-05-01,Sabah,1.34
2023-05-01,MALAYSIA,1.23
2023-05-01,Sabah & Sarawak,1.24
2023-06-01,MALAYSIA,1.21
2023-06-01,Sabah,1.28
2023-06-01,Sabah & Sarawak,1.24
2023-07-01,MALAYSIA,1.37
2023-07-01,Sabah,1.28
2023-07-01,Sabah & Sarawak,1.35
2023-08-01,MALAYSIA,1.5
2023-08-01,Sabah,1.39
2023-08-01,Sabah & Sarawak,1.45
2023-09-01,Sabah & Sarawak,1.53
2023-09-01,Sabah,1.52
2023-09-01,MALAYSIA,1.58
2023-10-01,Sabah,1.65
2023-10-01,MALAYSIA,1.65
2023-10-01,Sabah & Sarawak,1.58
2023-11-01,Sabah & Sarawak,1.47
2023-11-01,Sabah,1.56
2023-11-01,MALAYSIA,1.54
2023-12-01,Sabah,1.38
2023-12-01,MALAYSIA,1.35
2023-12-01,Sabah & Sarawak,1.3
2024-01-01,Sabah,1.3
2024-01-01,MALAYSIA,1.25
2024-01-01,Sabah & Sarawak,1.22
2024-02-01,Sabah & Sarawak,1.03
2024-02-01,Sabah,1.09
2024-02-01,MALAYSIA,1.09
2024-03-01,Sabah & Sarawak,1.07
2024-03-01,Sabah,1.17
2024-03-01,MALAYSIA,1.17
2024-04-01,Sabah,1.24
2024-04-01,MALAYSIA,1.27
2024-04-01,Sabah & Sarawak,1.14
2024-05-01,MALAYSIA,1.44
2024-05-01,Sabah,1.27
2024-05-01,Sabah & Sarawak,1.25
2024-06-01,Sabah,1.22
2024-06-01,MALAYSIA,1.4
2024-06-01,Sabah & Sarawak,1.23
2024-07-01,MALAYSIA,1.56
2024-07-01,Sabah,1.28
2024-07-01,Sabah & Sarawak,1.36
2024-08-01,Sabah,1.37
2024-08-01,Sabah & Sarawak,1.45
2024-08-01,MALAYSIA,1.65
2024-09-01,Sabah,1.43
2024-09-01,Sabah & Sarawak,1.43
2024-09-01,MALAYSIA,1.58
2024-10-01,MALAYSIA,1.55
2024-10-01,Sabah,1.59
2024-10-01,Sabah & Sarawak,1.48
2024-11-01,Sabah,1.44
2024-11-01,Sabah & Sarawak,1.35
2024-11-01,MALAYSIA,1.42
2024-12-01,Sabah,1.33
2024-12-01,Sabah & Sarawak,1.3
2024-12-01,MALAYSIA,1.34
2025-01-01,Sabah & Sarawak,1.14
2025-01-01,Sabah,1.16
2025-01-01,MALAYSIA,1.15
2025-02-01,Sabah,1.01
2025-02-01,MALAYSIA,1.06
2025-02-01,Sabah & Sarawak,1.05
2025-03-01,Sabah,1.18
2025-03-01,MALAYSIA,1.2
2025-03-01,Sabah & Sarawak,1.15
2025-04-01,MALAYSIA,1.48
2025-04-01,Sabah,1.46
2025-04-01,Sabah & Sarawak,1.36
2025-05-01,Sabah & Sarawak,1.36
2025-05-01,Sabah,1.48
2025-05-01,MALAYSIA,1.49
2025-06-01,MALAYSIA,1.45
2025-06-01,Sabah,1.35
2025-06-01,Sabah & Sarawak,1.27
2025-07-01,MALAYSIA,1.54
2025-07-01,Sabah,1.3
2025-07-01,Sabah & Sarawak,1.24
2025-08-01,MALAYSIA,1.63
2025-08-01,Sabah & Sarawak,1.41
2025-08-01,Sabah,1.39
2025-09-01,Sabah,1.45
2025-09-01,Sabah & Sarawak,1.49
2025-09-01,MALAYSIA,1.65
2025-10-01,Sabah & Sarawak,1.69
2025-10-01,Sabah,1.69
2025-10-01,MALAYSIA,1.8
2025-11-01,Sabah & Sarawak,1.61
2025-11-01,Sabah,1.65
2025-11-01,MALAYSIA,1.69
2025-12-01,Sabah & Sarawak,1.57
2025-12-01,Sabah,1.63
2025-12-01,MALAYSIA,1.61
